objid,skycoord_obj,ra_obj,dec_obj,ra_obj_maxSNR,dec_obj_maxSNR,num_alert,date_first_alert,mag_first_alert,filter_first_alert,date_peak_alert,mag_peak_alert,filter_peak_alert,date_last_alert,mag_last_alert,filter_last_alert,lsdr9_id.pseudo_host,lsdr9_ra.pseudo_host,lsdr9_dec.pseudo_host,lsdr9_gmag.pseudo_host,lsdr9_rmag.pseudo_host,lsdr9_zmag.pseudo_host,z.pseudo_host,e_z.pseudo_host,z_type.pseudo_host,z_source.pseudo_host
T202509250338445m332636,03:38:44.513 -33:26:36.458,54.68547398404097,-33.44346060553321,54.68541982709869,-33.44343165030096,4,2025-09-25T08:09:26.776,16.689933900700858,r,2025-10-07T06:16:50.189,16.672142154204444,r,2025-10-07T06:34:54.128,18.138948036974917,g,0545m335_9587,54.68495596841694,-33.44100788875716,22.49357177875936,21.217303723096848,20.181390941143036,nan,nan,NONE,NONE
A202509250326410m344018,03:26:41.006 -34:40:17.906,51.67086104933808,-34.67164065024843,51.67089472995829,-34.67166499540992,4,2025-09-25T08:11:24.418,21.650266919332054,r,2025-10-07T06:36:54.190,21.437881519479333,g,2025-10-07T06:36:54.190,21.437881519479333,g,0517m347_2818,51.67091722531345,-34.67168233411036,21.24125212430954,20.454140454530716,19.633561372756958,nan,nan,NONE,NONE
T202509250343063m350823,03:43:06.255 -35:08:22.752,55.77606633803921,-35.13965346669799,55.77606633803921,-35.13965346669799,3,2025-09-25T08:37:17.584,22.831853097435612,g,2025-10-07T06:26:45.768,21.102613463870938,r,2025-10-07T06:44:49.830,21.48603538397798,g,0557m352_6655,55.7763878272483,-35.13995010368038,20.901772528886795,19.55987274646759,18.81801038980484,nan,nan,NONE,NONE
T202509250342395m333606,03:42:39.498 -33:36:05.635,55.66457671930342,-33.60156548458073,55.66455522717965,-33.60159077408257,4,2025-09-25T08:19:19.597,21.417149813673454,r,2025-09-25T08:37:17.584,21.354937076778704,g,2025-10-07T06:44:49.830,21.617928690757537,g,0557m335_3371,55.66508781397913,-33.60149796793651,21.20858371257782,20.303099900484085,19.609665870666504,nan,nan,NONE,NONE
A202509250338351m332831,03:38:35.121 -33:28:30.984,54.64634152294242,-33.47527336014028,54.64635068933475,-33.47528068515206,4,2025-09-25T08:09:26.776,19.236433566975453,r,2025-09-25T08:27:27.094,19.043076647856978,g,2025-10-07T06:34:54.128,19.770259637885307,g,0545m335_8103,54.64638908495212,-33.4752578612539,18.219489753246307,17.240846753120422,16.596696376800537,nan,nan,NONE,NONE
T202509250341501m341521,03:41:50.071 -34:15:21.010,55.45863049889763,-34.25583621953191,55.45861790058932,-34.25582334943369,3,2025-09-25T08:37:17.584,23.698316873551576,g,2025-10-07T06:26:45.768,21.196303767053323,r,2025-10-07T06:44:49.830,21.386917598174563,g,0553m342_11434,55.45894972371649,-34.25613604281978,21.30651392042637,20.309272408485413,19.602410197257996,nan,nan,NONE,NONE
C202509250328064m360949,03:28:06.398 -36:09:49.382,52.0266608190999,-36.1637174946115,52.02626034654695,-36.16385322275359,1,2025-10-07T06:38:52.768,19.91270527217633,g,2025-10-07T06:38:52.768,19.91270527217633,g,2025-10-07T06:38:52.768,19.91270527217633,g,0521m362_3212,52.02680703736674,-36.16387253557471,17.44653880596161,16.555194854736328,15.931819081306458,nan,nan,NONE,NONE
T202509250334134m333626,03:34:13.393 -33:36:26.210,53.55580646928597,-33.60728063913401,53.55596490228992,-33.60729509430409,3,2025-09-25T08:09:26.776,21.09717629885104,r,2025-10-07T06:34:54.128,20.321213787437856,g,2025-10-07T06:34:54.128,20.321213787437856,g,0536m335_1480,53.55727620958878,-33.60570770800155,21.428514271974564,20.707764327526093,20.18289491534233,nan,nan,NONE,NONE
T202509250348395m362422,03:48:39.500 -36:24:21.568,57.16458455200481,-36.40599126833464,57.16459080272237,-36.40598214178824,4,2025-09-25T08:17:21.427,17.031193376864024,r,2025-10-07T06:24:47.034,17.024374934075045,r,2025-10-07T06:42:50.666,17.827770026966597,g,0572m365_2010,57.16697517748767,-36.405887574183,23.533174693584442,23.199840262532234,22.582607055082917,nan,nan,NONE,NONE
C202509250330588m351133,03:30:58.802 -35:11:32.961,52.74501125131471,-35.19248938879333,52.74499689708228,-35.19250123529105,4,2025-09-25T08:11:24.418,21.349810996073302,r,2025-09-25T08:11:24.418,21.349810996073302,r,2025-10-07T06:36:54.190,21.743925248244636,g,0527m352_6753,52.74504719468459,-35.1925543220608,20.9445858001709,20.5795356631279,20.073868930339813,nan,nan,NONE,NONE
A202509250331017m350832,03:31:01.744 -35:08:32.204,52.75726906754749,-35.14227895787383,52.75726906754749,-35.14227895787383,3,2025-09-25T08:29:24.759,21.77829276867641,g,2025-10-07T06:18:49.099,21.43906438015399,r,2025-10-07T06:36:54.190,21.76354640185575,g,0527m352_7224,52.75727957038517,-35.1422837873688,20.6710946559906,19.783580899238586,19.029873609542847,nan,nan,NONE,NONE
T202509250343295m332707,03:43:29.526 -33:27:06.570,55.87302831229832,-33.45182510724625,55.8729890416116,-33.45182354886807,4,2025-09-25T08:19:19.597,19.106820230507285,r,2025-09-25T08:19:19.597,19.106820230507285,r,2025-10-07T06:44:49.830,20.821499995238344,g,0557m335_12506,55.87367038585612,-33.45065385324615,16.15741729736328,15.266507863998413,14.661557078361511,0.075422,nan,spec,NED
C202509250332026m351717,03:32:02.582 -35:17:16.659,53.01076195700261,-35.2879610725772,53.01120310286754,-35.28798075231999,3,2025-09-25T08:29:24.759,20.266836593025893,g,2025-09-25T08:29:24.759,20.266836593025893,g,2025-10-07T06:36:54.190,20.813231763293427,g,0530m352_5457,53.01089985983027,-35.28800719262,17.479045391082764,16.604307889938354,15.944541096687317,nan,nan,NONE,NONE
C202509250332173m353658,03:32:17.295 -35:36:58.333,53.0720629039458,-35.61620384396134,53.07208069300654,-35.61625737726415,2,2025-09-25T08:29:24.759,21.611443461744294,g,2025-10-07T06:36:54.190,21.45460044515323,g,2025-10-07T06:36:54.190,21.45460044515323,g,0531m355_4302,53.07217444491113,-35.61632528461789,20.418557971715927,19.9222931265831,19.274510741233826,nan,nan,NONE,NONE
A202509250347325m363353,03:47:32.462 -36:33:53.172,56.8852621668117,-36.56477006426896,56.88526721552983,-36.56475361093717,3,2025-09-25T08:17:21.427,21.44856999292611,r,2025-10-07T06:24:47.034,21.271686054903952,r,2025-10-07T06:24:47.034,21.271686054903952,r,0569m365_3398,56.8853464585417,-36.56476437945925,23.423828333616257,23.061530217528343,21.959946900606155,nan,nan,NONE,NONE
T202509250330040m342134,03:30:04.033 -34:21:34.353,52.51680784835986,-34.35954264239493,52.51680784835986,-34.35954264239493,3,2025-09-25T08:11:24.418,15.896868657694402,r,2025-09-25T08:11:24.418,15.896868657694402,r,2025-10-07T06:36:54.190,16.952516424974906,g,0526m342_2433,52.52927048233742,-34.36453499558237,19.7159805893898,19.115324914455414,18.776729106903076,nan,nan,NONE,NONE
A202509250330592m354505,03:30:59.226 -35:45:04.650,52.74677537729539,-35.75129177886637,52.74677537729539,-35.75129177886637,3,2025-09-25T08:29:24.759,21.87871869882118,g,2025-10-07T06:36:54.190,21.812614599005624,g,2025-10-07T06:36:54.190,21.812614599005624,g,0526m357_8468,52.74681283298597,-35.75126319026513,22.666012048721313,21.6520968824625,20.918126553297043,nan,nan,NONE,NONE
C202509250329181m363218,03:29:18.088 -36:32:17.807,52.32536736499566,-36.53827994795716,52.32536736499566,-36.53827994795716,2,2025-09-25T08:31:23.710,20.938786376388734,g,2025-09-25T08:31:23.710,20.938786376388734,g,2025-10-07T06:38:52.768,20.999124499297476,g,0522m365_6634,52.32552579924519,-36.53826158587955,20.106269866228104,19.72506582736969,19.223600924015045,nan,nan,NONE,NONE
T202509250332509m345106,03:32:50.893 -34:51:06.086,53.21205660818499,-34.85169058811172,53.21218838755514,-34.85162044183717,4,2025-09-25T08:11:24.418,21.22249607957682,r,2025-10-07T06:18:49.099,20.546218209664012,r,2025-10-07T06:36:54.190,21.084875892337173,g,0532m347_3367,53.21262006094997,-34.85157627012487,16.113942861557007,15.312477350234985,14.635184407234192,0.071499,nan,spec,NED
A202509250346373m361919,03:46:37.348 -36:19:18.801,56.65561762969997,-36.32188933888443,56.65561762969997,-36.32188933888443,3,2025-09-25T08:17:21.427,21.38261298735022,r,2025-09-25T08:17:21.427,21.38261298735022,r,2025-10-07T06:42:50.666,21.81419052484092,g,0567m362_2619,56.65559696082734,-36.32189879839274,19.84323412179947,19.77189749479294,19.493506252765656,nan,nan,NONE,NONE
T202509250329488m360449,03:29:48.810 -36:04:48.540,52.45337777369982,-36.08015019942859,52.45339220462536,-36.08013069944406,4,2025-09-25T08:13:22.912,20.728460262957967,r,2025-09-25T08:13:22.912,20.728460262957967,r,2025-10-07T06:38:52.768,21.439641030323884,g,0525m360_2539,52.45398255499439,-36.07953211228511,18.017326593399048,17.376714944839478,16.85213267803192,nan,nan,NONE,NONE
T202509250342149m334537,03:42:14.880 -33:45:37.010,55.5620013787133,-33.76028074628442,55.5619585659739,-33.76030323093862,4,2025-09-25T08:19:19.597,18.598416517394135,r,2025-10-07T06:26:45.768,18.577142613648782,r,2025-10-07T06:44:49.830,20.07895166115095,g,0556m337_2297,55.55879718965318,-33.76393726846289,23.98529425263405,22.171445935964584,20.646225214004517,nan,nan,NONE,NONE
A202509250333095m373653,03:33:09.468 -37:36:53.317,53.2894510587068,-37.61481038310286,53.28949245381639,-37.61479403478393,3,2025-09-25T08:13:22.912,21.872451490164032,r,2025-10-07T06:20:48.756,21.62087934913886,r,2025-10-07T06:20:48.756,21.62087934913886,r,0532m375_9061,53.28951587467161,-37.6148415940356,21.44569143652916,21.201297640800476,20.29568314552307,nan,nan,NONE,NONE
C202509250346531m345538,03:46:53.077 -34:55:38.241,56.72115756011301,-34.92728934332179,56.72117187845077,-34.927327737366,3,2025-09-25T08:19:19.597,20.408706536809547,r,2025-10-07T06:26:45.768,20.148371354777872,r,2025-10-07T06:44:49.830,21.064509478917056,g,0568m350_3048,56.72117015530494,-34.92741676778287,18.3547243475914,17.687968909740448,17.173588275909424,nan,nan,NONE,NONE
C202509250342569m334823,03:42:56.898 -33:48:23.038,55.7370752744983,-33.80639963469687,55.7370771107917,-33.8065218079816,3,2025-09-25T08:37:17.584,21.466034566815882,g,2025-09-25T08:37:17.584,21.466034566815882,g,2025-10-07T06:44:49.830,21.640293023357337,g,0556m337_9497,55.73712500627011,-33.80651783220872,21.294295489788055,20.730376690626144,19.72636193037033,nan,nan,NONE,NONE
A202509250331572m340612,03:31:57.233 -34:06:11.730,52.98847351045887,-34.10325851211184,52.98850397474002,-34.1032001532735,4,2025-09-25T08:11:24.418,21.983995866991773,r,2025-10-07T06:18:49.099,21.77421348879777,r,2025-10-07T06:36:54.190,21.853597073512375,g,0531m340_501,52.98854659084315,-34.10321953004026,21.853737980127335,21.43682025372982,21.168146282434464,nan,nan,NONE,NONE
A202509250329270m354049,03:29:27.007 -35:40:49.484,52.36253196095123,-35.68041222980114,52.36255783180773,-35.68038336492588,4,2025-09-25T08:11:24.418,19.739822170584596,r,2025-09-25T08:11:24.418,19.739822170584596,r,2025-10-07T06:36:54.190,20.112065501219586,g,0523m357_5439,52.36249723638145,-35.68038810413064,19.401911199092865,18.9029523730278,18.219554722309113,nan,nan,NONE,NONE
T202509250327366m371238,03:27:36.556 -37:12:37.975,51.9023184744654,-37.21054865395516,51.9023184744654,-37.21054865395516,4,2025-09-25T08:31:23.710,20.304883196681143,g,2025-09-25T08:31:23.710,20.304883196681143,g,2025-10-07T06:49:01.822,20.486739689345864,g,0518m372_8390,51.90103499868848,-37.21062709996524,23.768227100372314,22.72273926064372,22.004122100770473,nan,nan,NONE,NONE
C202509250342467m363244,03:42:46.668 -36:32:43.795,55.69445308546339,-36.54549877973552,55.69471751144739,-36.54553225990693,1,2025-09-25T08:33:23.190,21.907395407741515,g,2025-09-25T08:33:23.190,21.907395407741515,g,2025-09-25T08:33:23.190,21.907395407741515,g,0557m365_4792,55.69458249018695,-36.54545359032026,18.83543610572815,17.945131063461304,17.27257251739502,nan,nan,NONE,NONE
T202509250331069m352615,03:31:06.933 -35:26:14.919,52.77888902269407,-35.43747754256415,52.77892309849278,-35.43748333567115,4,2025-09-25T08:11:24.418,17.87910102060843,r,2025-10-07T06:18:49.099,17.84363859279411,r,2025-10-07T06:36:54.190,19.462406385565227,g,0528m355_7647,52.8524564029779,-35.4962848242645,20.498749911785126,20.089599788188934,19.645813405513763,nan,nan,NONE,NONE
T202509250330090m345943,03:30:09.001 -34:59:43.492,52.5375071484395,-34.9954145280605,52.537427938413,-34.99542707146654,4,2025-09-25T08:11:24.418,17.04189866711476,r,2025-09-25T08:11:24.418,17.04189866711476,r,2025-10-07T06:36:54.190,18.387237781087467,g,0525m350_5564,52.54196063322635,-34.99717840853539,23.019417002797127,22.76781413704157,21.84523895382881,nan,nan,NONE,NONE
T202509250329065m342712,03:29:06.470 -34:27:11.521,52.27695999193542,-34.45320047111004,52.27695999193542,-34.45320047111004,4,2025-09-25T08:11:24.418,18.213227493678133,r,2025-10-07T06:18:49.099,18.202774196592735,r,2025-10-07T06:36:54.190,19.909959050162783,g,0521m345_8102,52.27816661371712,-34.44944970000712,23.960284143686295,23.097408302128315,23.146320059895515,nan,nan,NONE,NONE
A202509250346035m332936,03:46:03.522 -33:29:36.123,56.51467750162416,-33.49336777192892,56.51466269625964,-33.49333669855368,3,2025-09-25T08:19:19.597,22.01690768279771,r,2025-10-07T06:26:45.768,21.762243547593805,r,2025-10-07T06:26:45.768,21.762243547593805,r,0566m335_318,56.51468504891364,-33.49333582650714,22.290989104658365,21.42879329621792,20.181395709514618,nan,nan,NONE,NONE
C202509250327516m370230,03:27:51.629 -37:02:29.648,51.96512420847002,-37.04156903124021,51.96494672804255,-37.04160683475894,3,2025-09-25T08:13:22.912,21.915199579036823,r,2025-09-25T08:13:22.912,21.915199579036823,r,2025-10-07T06:20:48.756,22.14640955425519,r,0520m370_2918,51.96515235114441,-37.04149952879583,23.02662368863821,22.032859101891518,21.583349630236626,nan,nan,NONE,NONE
A202509250342272m340912,03:42:27.194 -34:09:12.439,55.61331171196525,-34.15345550960311,55.61330411288194,-34.15349559666323,4,2025-09-25T08:19:19.597,21.09757070320974,r,2025-09-25T08:37:17.584,20.696604000824717,g,2025-10-07T06:44:49.830,20.863756374719472,g,0556m342_5440,55.6133350659281,-34.15349856767782,20.917715281248093,20.741588175296783,20.55630698800087,nan,nan,NONE,NONE
A202509250330557m365630,03:30:55.682 -36:56:30.341,52.73201231767526,-36.94176165047682,52.73201327037424,-36.94172299963226,4,2025-09-25T08:13:22.912,19.741601292037085,r,2025-09-25T08:13:22.912,19.741601292037085,r,2025-10-07T06:38:52.768,20.11518144899189,g,0526m370_8074,52.7320036026909,-36.94174691979317,19.887717366218567,18.95774930715561,18.34087908267975,nan,nan,NONE,NONE
T202509250341575m341725,03:41:57.455 -34:17:25.109,55.48939887277185,-34.29030808616624,55.48941397298611,-34.29026202865895,4,2025-09-25T08:19:19.597,19.608914327337942,r,2025-10-07T06:26:45.768,19.569337097937662,r,2025-10-07T06:44:49.830,21.20948077491194,g,0556m342_493,55.48735518669088,-34.28802953337895,19.9291330575943,19.448198676109314,19.141933023929596,nan,nan,NONE,NONE
A202509250346436m335108,03:46:43.623 -33:51:07.538,56.68176489444539,-33.85209391818015,56.68179823739943,-33.85211560675866,4,2025-09-25T08:19:19.597,20.936455871979064,r,2025-09-25T08:37:17.584,20.661521327076187,g,2025-10-07T06:44:49.830,20.871070151821165,g,0565m337_11550,56.68183058416954,-33.85211166693151,21.173218190670013,19.898272454738617,19.037609100341797,nan,nan,NONE,NONE
A202509250345229m343647,03:45:22.911 -34:36:46.993,56.34546279408673,-34.61305366360661,56.3454178218055,-34.61299665958901,4,2025-09-25T08:19:19.597,21.49037490862662,r,2025-10-07T06:26:45.768,21.473202920496377,r,2025-10-07T06:44:49.830,21.540326527649896,g,0564m345_3243,56.3455108504842,-34.6130645132275,21.42680525779724,21.142661720514297,20.370069444179535,nan,nan,NONE,NONE
C202509250342185m341456,03:42:18.466 -34:14:56.163,55.57694493319026,-34.24893418204887,55.57696164947504,-34.2488030086898,3,2025-09-25T08:37:17.584,22.172312384253768,g,2025-10-07T06:44:49.830,21.93145074459252,g,2025-10-07T06:44:49.830,21.93145074459252,g,0556m342_4080,55.57698840225792,-34.2487878012723,21.545323356986046,21.01055070757866,19.913353621959686,nan,nan,NONE,NONE
T202509250339161m331019,03:39:16.114 -33:10:19.330,54.81714356995101,-33.17203613050523,54.81710265010452,-33.17200593262471,4,2025-09-25T08:09:26.776,16.021689849591688,r,2025-10-07T06:16:50.189,16.008607248647685,r,2025-10-07T06:34:54.128,17.30712969212204,g,0547m332_7887,54.80488707048135,-33.18293229160934,19.062686562538147,17.928530871868134,17.18704640865326,nan,nan,NONE,NONE
T202509250330324m345806,03:30:32.352 -34:58:06.220,52.63480223167053,-34.96839463681331,52.63482329265092,-34.96843284449085,3,2025-09-25T08:11:24.418,20.962860368094724,r,2025-09-25T08:29:24.759,20.34475331262132,g,2025-10-07T06:36:54.190,20.707252228489644,g,0525m350_8953,52.63546407030252,-34.9686292429176,20.938089340925217,19.03885781764984,18.037920892238617,nan,nan,NONE,NONE
A202509250344095m350804,03:44:09.477 -35:08:04.120,56.03948988837177,-35.13447793406009,56.03948489954086,-35.1345033640232,4,2025-09-25T08:19:19.597,22.103794096538785,r,2025-10-07T06:44:49.830,21.922331095727486,g,2025-10-07T06:44:49.830,21.922331095727486,g,0560m352_4620,56.0395418522373,-35.13452271628529,22.134301215410233,21.85731790959835,20.737671852111816,nan,nan,NONE,NONE
A202509250330389m343659,03:30:38.948 -34:36:58.534,52.66228468820326,-34.61625961706672,52.66228468820326,-34.61625961706672,3,2025-09-25T08:29:24.759,21.397917238613896,g,2025-10-07T06:36:54.190,21.17126967743033,g,2025-10-07T06:36:54.190,21.17126967743033,g,0527m345_859,52.66235532768105,-34.61626972704683,19.641619324684143,18.693760931491852,17.951139211654663,nan,nan,NONE,NONE
A202509250339008m335942,03:39:00.847 -33:59:42.100,54.75353071981188,-33.99502782109617,54.75352557700581,-33.99493392692001,2,2025-09-25T08:09:26.776,22.047903200614154,r,2025-09-25T08:09:26.776,22.047903200614154,r,2025-09-25T08:27:27.094,22.3812935037038,g,0546m340_10442,54.75355060910606,-33.99508445528512,22.981925383210182,22.508715683943592,22.3100158944726,nan,nan,NONE,NONE
A202509250336240m331636,03:36:23.966 -33:16:36.220,54.09986117944855,-33.27672789617488,54.09972203233875,-33.27673514218867,4,2025-09-25T08:09:26.776,20.6982888389147,r,2025-10-07T06:16:50.189,20.597147471845705,r,2025-10-07T06:34:54.128,20.761110841597343,g,0541m332_2819,54.09989427923496,-33.27673164493739,20.082086622714996,18.888426423072815,18.094711005687714,nan,nan,NONE,NONE
T202509250345062m370650,03:45:06.241 -37:06:50.422,56.27600763987399,-37.11400630162069,56.27596507159859,-37.11393288805854,4,2025-09-25T08:17:21.427,17.95189081866737,r,2025-09-25T08:17:21.427,17.95189081866737,r,2025-10-07T06:42:50.666,19.30934042424467,g,0564m370_5157,56.39043527175439,-37.08290352970773,15.6367826461792,14.964328408241272,14.553908109664917,0.004096,nan,spec,NED
C202509250345135m350807,03:45:13.499 -35:08:07.422,56.3062488595925,-35.13539511317875,56.3062488595925,-35.13539511317875,3,2025-09-25T08:37:17.584,23.181528708356623,g,2025-10-07T06:44:49.830,21.404839876237702,g,2025-10-07T06:44:49.830,21.404839876237702,g,0563m352_3531,56.30646836698183,-35.13526311389634,20.982912182807922,20.179194808006287,19.634487628936768,nan,nan,NONE,NONE
A202509250346581m344758,03:46:58.124 -34:47:57.636,56.74218433233646,-34.79934355741934,56.74217302851032,-34.79933983067658,3,2025-09-25T08:19:19.597,21.36305247321188,r,2025-10-07T06:26:45.768,21.232928454024723,r,2025-10-07T06:44:49.830,22.063223844705856,g,0566m347_10298,56.74226721246018,-34.79935803893904,16.899096965789795,16.285473108291626,15.693028569221497,0.092807,nan,spec,NED
C202509250328277m345545,03:28:27.669 -34:55:45.485,52.11528985040142,-34.92930163432393,52.11555276916293,-34.92947169537616,3,2025-09-25T08:11:24.418,21.84644616543238,r,2025-09-25T08:29:24.759,20.613819834634533,g,2025-10-07T06:36:54.190,21.344706077000588,g,0522m350_1488,52.11552438603535,-34.92945485405455,15.95810353755951,15.17385721206665,14.618093371391296,nan,nan,NONE,NONE
C202509250344044m341433,03:44:04.392 -34:14:32.844,56.01830174497051,-34.24245689921742,56.01834904420014,-34.24249281515105,3,2025-09-25T08:19:19.597,21.550197878584935,r,2025-09-25T08:19:19.597,21.550197878584935,r,2025-10-07T06:26:45.768,21.73549394284052,r,0559m342_9721,56.01833924472972,-34.24271569317989,20.20448789000511,19.782605469226837,19.411678314208984,nan,nan,NONE,NONE
T202509250335249m370623,03:35:24.911 -37:06:23.313,53.85379939017917,-37.10647586409056,53.85375774310763,-37.10649797017304,5,2025-09-25T08:13:22.912,20.40059657296942,r,2025-09-25T08:13:22.912,20.40059657296942,r,2025-10-07T06:38:52.768,21.989536265669344,g,0539m370_3794,53.85127493424304,-37.10688229286922,23.28389123082161,23.183445632457733,21.740729808807373,nan,nan,NONE,NONE
C202509250332543m363817,03:32:54.332 -36:38:17.174,53.22638465072654,-36.63810395460739,53.22642792941193,-36.63810886671178,4,2025-09-25T08:13:22.912,20.94643783773772,r,2025-10-07T06:38:52.768,19.758354585574697,g,2025-10-07T06:38:52.768,19.758354585574697,g,0530m367_10110,53.22648029341303,-36.63807958386072,19.52219009399414,19.401946365833282,19.27866756916046,nan,nan,NONE,NONE
C202509250333186m331751,03:33:18.607 -33:17:51.349,53.32753208576861,-33.29759711189048,53.32749716133638,-33.2975766718333,4,2025-09-25T08:09:26.776,19.787404482644106,r,2025-09-25T08:09:26.776,19.787404482644106,r,2025-10-07T06:34:54.128,20.77135208462456,g,0532m332_8819,53.32764137737308,-33.29766912847816,19.97117578983307,19.53925758600235,19.236603677272797,nan,nan,NONE,NONE
